last_login,start_date,email_address,name,manager_id,user_id
2025-02-08,2021-03-08,dbowers@example.org,Claudia Atkins,6,65
2025-01-22,2023-10-20,valerie00@example.net,William Barnes,7,66
2025-02-21,2022-04-03,harriswendy@example.org,Tabitha Sanchez,12,67
2025-01-28,2021-03-22,turnerjuan@example.org,Sonya Pacheco,8,68
2025-02-04,2022-06-02,stephanierogers@example.com,Jonathan Lowe,13,69
2025-04-02,2024-02-09,hatfieldkristin@example.net,Natalie Boyle,15,70
2025-02-07,2022-09-23,melissa88@example.org,Julie Butler,11,71
2025-02-09,2022-08-01,boothkathryn@example.com,Jose Bender,15,25
2025-01-14,2023-03-06,parellano@example.net,Katrina Walker,8,72
2025-03-29,2023-05-29,clarkjessica@example.net,Russell Brennan,13,1
2025-01-19,2022-03-15,vmay@example.org,Tammy Mendez,6,73
2025-04-06,2024-05-29,cmann@example.com,Kathryn Ramirez,12,74
2025-03-05,2020-12-02,cameron01@example.org,James Harris,8,75
2025-03-17,2020-12-07,richard94@example.com,Julie Mccarthy,15,76
2025-01-08,2022-11-09,andre66@example.net,Alexis Daniels,15,77
2025-02-15,2022-11-20,yclarke@example.net,Willie Shaffer,12,36
2025-02-13,2024-06-26,careyjohn@example.com,Shelly Carr,8,78
2025-03-18,2022-06-18,dlin@example.net,Gregory Kennedy,7,79
2025-01-25,2023-10-21,nhenson@example.net,Victor Browning,14,80
2025-03-05,2024-09-25,jake54@example.net,Gregory Chung,12,81
2025-02-04,2023-07-22,michaelbowman@example.com,Blake Williams,15,82
2025-02-08,2025-02-20,ubowen@example.org,Mr. Bill Ortega,8,83
2025-01-29,2020-05-31,arnoldjason@example.org,Dustin Johnson,10,84
2025-03-20,2021-11-26,buckleykimberly@example.org,Sandy Orr,13,85
2025-04-05,2021-08-10,hchapman@example.com,Ms. Kathleen Santiago MD,8,86
2025-03-30,2020-12-03,hernandezmark@example.net,Jay Ibarra,15,87
